"year","grid_pt","last_snow_adj","snowmelt_adj","snowmelt_est","Estimate","Est.Error","Q2.5","Q97.5"
"1993","1",200,NA,200,189.493107344188,0.422184249903824,165.587640455373,213.500071731659
"1993","2",200,NA,200,188.426055338539,0.420565456920727,164.515008017221,212.411443596574
"1993","3",200,NA,200,186.554956878967,0.420011845776293,162.587821854362,210.286667925665
"1993","4",182,200,182.659129766138,182.659129766138,0.420407273130557,158.970979803524,206.399204241855
"1993","5",182,200,184.274893595676,184.274893595676,0.422206253739447,160.071990040848,208.251345092922
"1993","6",182,200,182.965337022629,182.965337022629,0.418605892492492,159.146079276484,206.88523209067
"1993","7",149,173,164.552134947413,164.552134947413,0.422954726580303,140.517851074348,188.404700247216
"1993","8",127,149,138,162.471480656471,0.421401267277996,138.581077307009,186.304051166598
"1993","9",127,149,138,160.699168563233,0.421297408426255,136.816004863213,184.598756827771
"1993","10",111,127,119,135.291333962228,0.421240984752312,111.192702580336,159.183230823992
"1993","11",200,NA,200,192.461689800486,0.422942579218459,168.346893521343,216.457243577336
"1993","12",200,NA,200,189.155925473841,0.419655074468342,165.318144127849,212.937933409195
"1993","13",200,NA,200,199.011834597897,0.419950052563709,175.348746269204,223.123830376413
"1993","14",182,200,188.564658991697,188.564658991697,0.421675525878119,164.724306483483,212.513719331759
"1993","15",182,200,184.371044830719,184.371044830719,0.420113772697341,160.501962431301,208.260073945348
"1993","16",173,182,176.144983028525,176.144983028525,0.419129354070502,152.259502454024,200.145994243448
"1993","17",149,173,166.860101639117,166.860101639117,0.417912092789347,143.036582551569,190.678709887646
"1993","18",127,149,138,150.76350780946,0.419564106615135,126.890303572879,174.53847118551
"1993","19",127,149,147.475106972589,147.475106972589,0.41818100166038,123.97650711617,171.459535782597
"1993","20",111,127,119,137.545939705819,0.423880169773932,113.599624620469,161.531750864563
"1993","21",200,NA,200,192.94197379385,0.420832199076278,168.966786780981,216.884166079198
"1993","22",200,NA,200,191.371958428309,0.419197994720448,167.587274213172,215.299853705126
"1993","23",200,NA,200,198.592958153541,0.42154260711551,174.556990923789,222.525705290028
"1993","24",200,NA,200,197.914356518463,0.420389218650767,173.957657239841,221.658927115333
"1993","25",182,200,182.280345726206,182.280345726206,0.421592029586477,158.535030585493,206.534117866174
"1993","26",149,173,167.155857195009,167.155857195009,0.421403470559028,143.182643907198,191.01375101404
"1993","27",149,173,171.697189999394,171.697189999394,0.420287113065252,147.831631195954,195.304347771441
"1993","28",127,149,138,174.920961072537,0.423411536120514,150.737709277682,198.805970710273
"1993","29",111,127,119,146.522740247821,0.424168592736235,122.289720654529,170.552768698399
"1993","30",127,149,141.234020474632,141.234020474632,0.422582186571438,117.094997776783,165.123700782789
"1993","31",200,NA,200,189.326163202884,0.42031995485808,165.401688305516,213.249763878285
"1993","32",200,NA,200,191.073262666148,0.420574117201494,167.247733399629,214.97175302546
"1993","33",200,NA,200,196.167124354127,0.420928935436218,172.433439330677,220.188558877236
"1993","34",200,NA,200,197.879100780181,0.424366609680993,173.930078170553,221.94794487432
"1993","35",200,NA,200,196.012498437457,0.420341131515045,172.179683278901,220.003074007778
"1993","36",149,173,171.187570900972,171.187570900972,0.421446618578095,147.272671982256,195.252961438901
"1993","37",149,173,171.797844646505,171.797844646505,0.421179074053788,147.818271750589,195.899619274972
"1993","38",127,149,138,177.260898294857,0.420449948212862,153.468918246996,201.340728789365
"1993","39",127,149,138,152.358211733151,0.4200809740309,128.277693031811,176.196324804769
"1993","40",111,127,119,140.233705581305,0.422127113651793,116.251449621811,164.404484974002
"1993","41",200,NA,200,189.289645857656,0.423852175938907,165.250351988704,213.471074194572
"1993","42",200,NA,200,192.580190546882,0.421766894684022,168.714117181355,216.658135564487
"1993","43",200,NA,200,199.916756755971,0.423520960779284,176.0551400533,224.225987422135
"1993","44",200,NA,201.836214349415,201.836214349415,0.423394146166338,177.859065481493,226.031305907831
"1993","45",200,NA,205.590246008517,205.590246008517,0.420331374710999,181.739047152926,229.453312476135
"1993","46",182,200,195.017554910678,195.017554910678,0.418993437325885,170.9586235736,218.610180908287
"1993","47",149,173,171.828066403575,171.828066403575,0.418475069524404,148.055686688973,195.611847544608
"1993","48",127,149,138,156.383102423136,0.421886729105108,132.314398845412,180.224098617651
"1993","49",127,149,138,160.504808954523,0.419718997689314,136.780304292887,184.253668904182
"1993","50",127,149,145.310871351282,145.310871351282,0.420758058829056,121.362676927986,169.132045832192
"1993","51",182,200,183.480568946539,183.480568946539,0.419975143545725,159.676910131371,207.540358354059
"1993","52",182,200,191,177.619304340005,0.420914862359489,153.625163538768,201.484101032433
"1993","53",200,NA,200,199.999049812242,0.420461158539873,176.167357782755,224.081537082657
"1993","54",200,NA,203.827201878931,203.827201878931,0.422520278662509,179.887934136529,227.842952196821
"1993","55",200,NA,214.459477422216,214.459477422216,0.423681206136132,190.508566499723,238.556393388984
"1993","56",200,NA,213.707585651075,213.707585651075,0.422694460687027,189.70493825728,237.833488217384
"1993","57",149,173,167.85869847337,167.85869847337,0.421026022056916,144.136872751073,191.762605685938
"1993","58",149,173,164.87024188678,164.87024188678,0.420841883517486,140.696397240322,188.876688121363
"1993","59",127,149,138,153.977602159212,0.423736725940498,129.893896449814,178.153127825466
"1993","60",127,149,138,155.890735586394,0.41939406885771,132.191588279294,179.894045020092
"1993","61",173,182,177.5,169.189352826811,0.41897225985288,145.449221895748,193.102933808674
"1993","62",200,NA,200,192.876160796743,0.420472128898952,168.983897374709,216.788072556032
"1993","63",200,NA,201.97240309306,201.97240309306,0.422966984356878,177.818717349515,225.87872488582
"1993","64",182,200,186.290305823618,186.290305823618,0.419656480942195,162.647743517613,210.053573158994
"1993","65",200,NA,215.36114779456,215.36114779456,0.422980248853067,191.378887320265,239.588300787887
"1993","66",200,NA,214.53590414218,214.53590414218,0.419923422218878,190.665188970721,238.481271248765
"1993","67",149,173,166.550381784609,166.550381784609,0.420786767544603,142.48908502135,190.399310400823
"1993","68",149,173,163.170279247934,163.170279247934,0.421568660658922,139.091553758999,187.147169863546
"1993","69",127,149,138,152.665016051858,0.422584128605391,128.786919859248,176.778671812889
"1993","70",127,149,138,150.471609596938,0.418982854298692,126.558168230602,174.101562666306
"1993","71",149,173,169.912247062533,169.912247062533,0.422291625285717,146.04989047415,193.822506569045
"1993","72",182,200,184.918449273812,184.918449273812,0.420616941415477,160.880627937542,209.008871882559
"1993","73",200,NA,200,196.489910582694,0.422130583519398,172.483850645356,220.487684827102
"1993","74",200,NA,206.232353324606,206.232353324606,0.422487740745763,182.128532040815,230.153900209833
"1993","75",200,NA,201.907062394235,201.907062394235,0.423811830979344,177.752837538694,226.026373334692
"1993","76",200,NA,204.125484868004,204.125484868004,0.422990447208111,179.966253841212,228.091491558079
"1993","77",182,200,191,177.650762494248,0.420284468487022,153.519498270676,201.01720738485
"1993","78",127,149,138,154.796305299569,0.421782431202638,130.875756074049,178.967523006682
"1993","79",149,173,161.737675207809,161.737675207809,0.416940891364726,138.04404539873,185.478258277559
"1993","80",149,173,161.273291642782,161.273291642782,0.420817520456599,137.279438230823,185.100691036857
"1993","101",111,127,119,133.100506674386,0.422182820192001,109.032398281351,157.170461301232
"1993","201",111,127,119,131.848168346092,0.422315122593116,107.867532630727,155.879675519168
"1993","301",127,149,137.766748002057,137.766748002057,0.419291715182743,113.852209746522,161.529145072746
"1993","401",111,127,119,140.535136276357,0.421265812776163,116.644361602623,164.445184394093
"1993","501",127,149,141.842301717151,141.842301717151,0.42064348265309,117.983004995352,165.751691078436
"1993","601",127,149,140.582406271493,140.582406271493,0.422792639378364,116.680778967156,164.565964555381
"1993","701",127,149,141.28460576781,141.28460576781,0.423344498476796,117.297884117521,165.532179880449
"1993","801",127,149,138,156.378239850003,0.421620695973455,132.051905909841,180.125197671069
"1994","1",153,NA,156.985872838677,156.985872838677,0.422839501695842,133.19844993289,181.12100992669
"1994","2",153,NA,155.898493419968,155.898493419968,0.419524697094774,132.029894441626,179.910634040967
"1994","3",153,NA,153.953959107029,153.953959107029,0.423102801424181,129.957104549542,178.191840023006
"1994","4",153,NA,153,150.226018483428,0.421066723523868,126.365608105178,173.973034642811
"1994","5",153,NA,153,151.721264510896,0.42104188343871,127.899663604028,175.536900713166
"1994","6",134,153,150.440893830845,150.440893830845,0.420023975579101,126.415184898183,174.345040253324
"1994","7",108,134,132.055502634686,132.055502634686,0.422618599354352,107.930551733572,156.088013513384
"1994","8",108,134,130.016222822576,130.016222822576,0.421425306678265,106.245137223293,153.985881018246
"1994","9",108,134,128.166288822239,128.166288822239,0.422663868399761,104.215656199201,152.390024650956
"1994","10",99,108,102.650482837834,102.650482837834,0.422558561917856,78.624801168894,126.711912482595
"1994","11",153,NA,159.819791989748,159.819791989748,0.421858674453158,135.774910915191,183.889239070449
"1994","12",153,NA,156.577069388189,156.577069388189,0.420182319985858,132.564716462893,180.689569443128
"1994","13",153,NA,166.453458410678,166.453458410678,0.422765781388803,142.157586362077,190.384135264991
"1994","14",153,NA,156.167413713262,156.167413713262,0.421196220068014,132.228616596584,179.975231789096
"1994","15",153,NA,153,151.819448054072,0.420949962731701,128.001604589921,175.776205961299
"1994","16",134,153,143.777188265796,143.777188265796,0.421712251743533,119.489869686741,167.602980508648
"1994","17",108,134,121,134.589192306929,0.421206828086116,110.559497470274,158.582785517042
"1994","18",108,134,118.170482696551,118.170482696551,0.42324632698819,94.1165070149933,142.313671416367
"1994","19",99,108,103.5,115.015821697239,0.419669111451072,90.93041016309,139.011306453258
"1994","20",99,108,104.916140768588,104.916140768588,0.421789908645432,80.9243732250927,128.96252492685
"1994","21",153,NA,160.344490477932,160.344490477932,0.422800938510085,136.516581425165,184.378153735047
"1994","22",153,NA,158.743843632944,158.743843632944,0.419970963812292,135.096279075305,182.689090167361
"1994","23",153,NA,166.128129751813,166.128129751813,0.421941197706462,142.118927434121,190.154560713289
"1994","24",153,NA,165.392140922728,165.392140922728,0.422443697621298,141.406154713637,189.347183777666
"1994","25",134,153,149.744208675068,149.744208675068,0.42316530450558,125.629334992648,173.639433954896
"1994","26",108,134,121,134.511852100208,0.419609562663248,110.629740401907,158.264361949639
"1994","27",134,153,139.106778134928,139.106778134928,0.419544730660032,115.25962074653,162.821394640415
"1994","28",134,153,142.368703324463,142.368703324463,0.422806562982476,118.187128923261,166.416909332034
"1994","29",99,108,103.5,114.113392114055,0.42251858724727,90.071761746006,138.114068263603
"1994","30",99,108,103.5,108.673525393141,0.420835017837538,84.7871646816376,132.554049742635
"1994","31",134,153,143.5,156.795797749012,0.42105830903296,132.924480111974,180.622886417636
"1994","32",153,NA,158.527056217038,158.527056217038,0.421474172539134,134.72067254482,182.41579504377
"1994","33",153,NA,163.668083773717,163.668083773717,0.42087310851593,140.000229919852,187.583357809677
"1994","34",153,NA,165.253407064476,165.253407064476,0.41956808437639,141.248578355819,189.130715897731
"1994","35",153,NA,163.602293505043,163.602293505043,0.42200533167895,139.533942348553,187.772768330488
"1994","36",134,153,138.635083503873,138.635083503873,0.423375089299556,114.589911859749,162.640978908828
"1994","37",134,153,139.222166017947,139.222166017947,0.420534146942143,115.217585755351,163.0735686691
"1994","38",134,153,144.700587707259,144.700587707259,0.421713436362242,120.733633750013,168.586471095478
"1994","39",108,134,119.850404974198,119.850404974198,0.422046013303872,95.7752638006233,143.903468216863
"1994","40",99,108,107.684100904163,107.684100904163,0.421197020802381,83.7863203978777,131.565694615957
"1994","41",153,NA,156.631183452395,156.631183452395,0.420213431926078,132.792808810326,180.590429581474
"1994","42",153,NA,159.965254726521,159.965254726521,0.419105987776644,136.086377684729,183.556778523304
"1994","43",153,NA,167.408400798316,167.408400798316,0.423617482611763,143.486973389024,191.584265907482
"1994","44",153,NA,169.239882326617,169.239882326617,0.423740154468406,145.133806849855,193.381579710849
"1994","45",153,NA,173.018523173631,173.018523173631,0.420676235001958,149.20615331908,196.736902954939
"1994","46",153,NA,162.526990671375,162.526990671375,0.423104263290178,138.350298245882,186.533712820784
"1994","47",108,134,121,139.229147546526,0.421812150254145,114.929321014236,163.307296196851
"1994","48",108,134,123.848761871656,123.848761871656,0.420528708135143,100.098652519449,147.651504823571
"1994","49",108,134,128.050045753838,128.050045753838,0.418483557515474,104.112834157173,151.806414515207
"1994","50",99,108,103.5,112.836515607876,0.420331216942694,88.9094069112747,136.471308800927
"1994","51",153,NA,153,150.835291912908,0.422617114815457,126.812177545085,174.813466918492
"1994","52",153,NA,153,145.042076391193,0.422634529320907,121.104470374029,169.140490572664
"1994","53",153,NA,167.473226718008,167.473226718008,0.421701397275692,143.346428946777,191.648768414754
"1994","54",153,NA,171.297054513685,171.297054513685,0.422343528681281,147.262831472353,195.207590968607
"1994","55",153,NA,181.936267662491,181.936267662491,0.422369380017456,158.238203432691,206.361242980591
"1994","56",153,NA,181.012992579865,181.012992579865,0.421559617548902,157.13965749833,205.044921553477
"1994","57",108,134,121,135.290760427082,0.421117383570082,111.095855594316,159.12724102841
"1994","58",108,134,132.525629431232,132.525629431232,0.421626737075191,108.635361820368,156.587367579562
"1994","59",99,108,103.5,121.416594652644,0.42345233706616,97.4957192782568,145.47063217517
"1994","60",108,134,123.503690069172,123.503690069172,0.423461714341172,99.5409445483722,147.516979792452
"1994","61",108,134,121,136.51282609055,0.423170831804331,112.459131648422,160.622222069394
"1994","62",153,NA,160.31870908685,160.31870908685,0.421010434425616,136.568638665268,184.3302572066
"1994","63",153,NA,169.443760393053,169.443760393053,0.422906298520434,145.325195870194,193.300869566381
"1994","64",153,NA,153.784412667131,153.784412667131,0.419344438053357,129.923111835905,177.592563492444
"1994","65",153,NA,182.891205726682,182.891205726682,0.422659065521177,158.775857786311,206.731829148647
"1994","66",153,NA,181.887069986859,181.887069986859,0.424373372565039,157.651443292525,205.812808372911
"1994","67",108,134,121,134.132454384656,0.423319542815061,109.911161430598,158.209935477926
"1994","68",108,134,130.600223343362,130.600223343362,0.421700370278954,106.320281611664,154.401462391786
"1994","69",99,108,103.5,120.238987077801,0.41919197568784,96.5259522176998,144.088056120651
"1994","70",99,108,103.5,117.884259974051,0.419491571374409,94.0074289098185,141.751100995326
"1994","71",134,153,137.472754311725,137.472754311725,0.422646403683147,113.666598652561,161.406287201056
"1994","72",153,NA,153,152.404017796275,0.422438332366318,128.517296915868,176.361744844149
"1994","73",153,NA,163.979036433227,163.979036433227,0.42065935024596,140.186165977137,187.863548550572
"1994","74",153,NA,173.626599967806,173.626599967806,0.420644840708203,149.673265038947,197.710398100622
"1994","75",153,NA,169.392539203211,169.392539203211,0.421143745441809,145.23708869425,193.174965018861
"1994","76",153,NA,171.539812454506,171.539812454506,0.423370768818742,147.491466244223,195.595351352752
"1994","77",108,134,121,145.141631304167,0.421688733540435,121.257516823216,169.095276808966
"1994","78",134,153,143.5,122.190006248054,0.420720692221759,98.3919393507306,146.268254044273
"1994","79",108,134,129.236607435053,129.236607435053,0.421282434905327,105.252192644838,153.296163699948
"1994","80",108,134,128.734665534086,128.734665534086,0.422400291170747,104.90976321742,152.695318946715
"1994","101",99,108,100.396802639392,100.396802639392,0.422930057452945,76.362737192315,124.384547366253
"1994","201",99,108,99.3759460387168,99.3759460387168,0.42188947491011,75.4300663241402,123.694218032441
"1994","301",99,108,105.080175467938,105.080175467938,0.421730830950627,81.2619576864181,129.087401096158
"1994","401",99,108,103.5,108.067784673255,0.420475915012182,84.1736579987819,131.794365977789
"1994","501",99,108,103.5,109.451255237296,0.423000059969514,85.3078179798272,133.299940684317
"1994","601",99,108,103.5,108.091552151099,0.423406108289012,84.1278586523349,131.983947310062
"1994","701",99,108,103.5,108.667271127571,0.422017389115439,84.7041549790032,132.584669824762
"1994","801",108,134,123.693740795284,123.693740795284,0.423285051977432,99.5897793314689,147.792813830771
"1995","1",194,205,199.5,207.551649433656,0.418269267198535,183.672313704403,231.187045042415
"1995","2",194,205,199.5,206.20672154715,0.420435663986305,182.155368785751,230.22547612649
"1995","3",194,205,204.442251093548,204.442251093548,0.421444478110875,180.449755983097,228.57523859387
"1995","4",194,205,200.797283892975,200.797283892975,0.420539493477855,176.904192731887,224.91078419587
"1995","5",194,205,202.021526617127,202.021526617127,0.421586954003005,177.822262352704,225.849136021943
"1995","6",194,205,200.906127867883,200.906127867883,0.419150930390872,177.08361775799,224.75186608648
"1995","7",170,177,173.5,182.345237213296,0.420199294084177,158.477948473019,206.189131962115
"1995","8",163,170,166.5,180.461444019306,0.419935967116903,156.461169859193,204.391479143371
"1995","9",163,170,166.5,178.616859780588,0.419534590157657,154.671887197065,202.449160010195
"1995","10",156,163,159.5,153.009148214768,0.420105965909422,128.962815572535,176.668025685458
"1995","11",214,NA,214,210.360626206546,0.420813677666608,186.425344685453,234.301624214764
"1995","12",205,214,207.044604714402,207.044604714402,0.419724513504029,182.975004963815,230.767868628383
"1995","13",205,214,209.5,216.922078022013,0.41853634624176,193.000262174288,240.495752762025
"1995","14",205,214,206.594492550609,206.594492550609,0.418382767147854,182.791677332119,230.340371639387
"1995","15",194,205,202.285561883782,202.285561883782,0.423008712699992,178.219780720978,226.272493817562
"1995","16",188,194,191,194.14808126367,0.420118903510094,170.352561507737,217.974588530126
"1995","17",170,177,173.5,184.880489237547,0.422327209848228,160.904504346774,208.992012845442
"1995","18",163,170,168.550103356294,168.550103356294,0.42097409011387,144.66140161357,192.485133329879
"1995","19",163,170,165.359678500786,165.359678500786,0.419794969621658,141.684112758818,189.230066920442
"1995","20",156,163,159.5,155.475100596541,0.420194195978042,131.801836026692,179.59085878502
"1995","21",214,NA,214,210.738686414736,0.418605327078275,186.956959304409,234.474900686399
"1995","22",205,214,209.356830367656,209.356830367656,0.423400293318288,185.390906085988,233.523431697865
"1995","23",205,214,209.5,216.541116557051,0.422746675822208,192.679945378625,240.686904315577
